vtk_index,date,body,x_au,y_au,z_au
0,2024-09-18 02:52:02,Mercury,-0.2931998982356946,0.1483020610081603,0.006276805726702085
0,2024-09-18 02:52:02,Venus,-0.018934995529537264,-0.7248774486251188,-0.00889759206205278
0,2024-09-18 02:52:02,Earth,0.9404091039794074,0.3310550164116914,0.12506210290449418
0,2024-09-18 02:52:02,Mars,0.25228466531592575,1.4629185107768117,0.06865177914759238
10,2024-09-20 21:21:22,Mercury,-0.33482657122244786,0.07153699981066534,0.0014399424964016232
10,2024-09-20 21:21:22,Venus,0.0368373359835758,-0.7245673002661752,-0.005181598263419223
10,2024-09-20 21:21:22,Earth,0.9230235111569558,0.3752054321177112,0.12382793774836298
10,2024-09-20 21:21:22,Mars,0.2140752029903713,1.4727587441934216,0.06536342076927115
20,2024-09-23 15:50:42,Mercury,-0.3576160954027133,-0.009358196024847571,-0.0034839974320072646
20,2024-09-23 15:50:42,Venus,0.09239055839959874,-0.7199452766339285,-0.0014348007467475945
20,2024-09-23 15:50:42,Earth,0.9035697084327886,0.4185242509296964,0.12231769067908135
20,2024-09-23 15:50:42,Mars,0.17571777037927783,1.481583806913751,0.062030153050267205
30,2024-09-26 10:20:02,Mercury,-0.3627226267780331,-0.08988042085924504,-0.00824090818858082
30,2024-09-26 10:20:02,Venus,0.14739481396800236,-0.7110446924741716,0.0023205179368545434
30,2024-09-26 10:20:02,Earth,0.882077952268389,0.46091260454135724,0.1205334972644906
30,2024-09-26 10:20:02,Mars,0.13723967887739527,1.489394938523923,0.058654572150888686
40,2024-09-29 04:49:22,Mercury,-0.35207171682665683,-0.1665739634422638,-0.012644336774553728
40,2024-09-29 04:49:22,Venus,0.20152434270554054,-0.6979239074427803,0.006062084262909081
40,2024-09-29 04:49:22,Earth,0.8585857870346582,0.5022682571172546,0.11847780905854073
40,2024-09-29 04:49:22,Mars,0.09866793843976022,1.4961941081368015,0.05523926814647411
50,2024-10-01 23:18:42,Mercury,-0.32790451846264784,-0.23693740864532475,-0.016566283886796505
50,2024-10-01 23:18:42,Venus,0.2544593287751209,-0.6806658617168668,0.009767761218461046
50,2024-10-01 23:18:42,Earth,0.8331392776131973,0.5424888635647129,0.11615379975675864
50,2024-10-01 23:18:42,Mars,0.06002924093119151,1.5019839924864637,0.05178682279800173
60,2024-10-04 17:48:02,Mercury,-0.29250229664902033,-0.29923904637403786,-0.01992413158948779
60,2024-10-04 17:48:02,Venus,0.30588769546364925,-0.6593774823482941,0.013415673733079616
60,2024-10-04 17:48:02,Earth,0.8057926811286167,0.5814742165058723,0.11356554684526718
60,2024-10-04 17:48:02,Mars,0.021349944704442368,1.5067679539783592,0.0482998074463571
70,2024-10-07 12:17:22,Mercury,-0.24804555595727049,-0.3523280861157676,-0.022668432693931807
70,2024-10-07 12:17:22,Venus,0.35550684096984214,-0.6341889660337768,0.01698433147918628
70,2024-10-07 12:17:22,Earth,0.7766077678368999,0.6191279229455023,0.11071812782924079
70,2024-10-07 12:17:22,Mars,-0.01734393956779317,1.5105500187492695,0.04478078101739441
80,2024-10-10 06:46:42,Mercury,-0.19655754978309514,-0.3954765753998273,-0.024773191661668907
80,2024-10-10 06:46:42,Venus,0.4030253079964748,-0.6052529441320953,0.02045274851510924
80,2024-10-10 06:46:42,Earth,0.7456528130208439,0.6553588303418905,0.10761766469716999
80,2024-10-10 06:46:42,Mars,-0.056026761973792166,1.513334854765523,0.041232288131698366
90,2024-10-13 01:16:02,Mercury,-0.13989496873931573,-0.428259241445217,-0.02622875363636338
90,2024-10-13 01:16:02,Venus,0.4481643801330993,-0.572743536275644,0.023800559239750753
90,2024-10-13 01:16:02,Earth,0.7130011900487281,0.6900822971917976,0.1042713202796082
